fecha,sexo,num_casos
2020-10-21,M,2293
2020-10-22,H,2042
2020-10-22,M,2535
2020-10-23,H,2003
2020-10-23,M,2282
2020-10-24,H,779
2020-10-24,M,906
2020-10-25,H,715
2020-10-25,M,730
2020-10-26,H,1925
2020-10-26,M,2161
2020-10-27,H,1972
2020-10-27,M,2337
2020-10-28,H,1914
2020-10-28,M,2139
2020-10-29,H,1672
2020-10-29,M,1923
2020-10-30,H,1727
2020-10-30,M,2009
2020-10-31,H,743
2020-10-31,M,874
2020-11-01,H,497
2020-11-01,M,506
2020-11-02,H,1805
2020-11-02,M,2032
2020-11-03,H,1794
2020-11-03,M,2014
2020-11-04,H,1457
2020-11-04,M,1839
2020-11-05,H,1491
2020-11-05,M,1664
2020-11-06,H,1339
2020-11-06,M,1597
2020-11-07,H,515
2020-11-07,M,611
2020-11-08,H,298
2020-11-08,M,317
2020-11-09,H,1213
2020-11-09,M,1374
2020-11-10,H,1179
2020-11-10,M,1423
2020-11-11,H,1051
2020-11-11,M,1112
2020-11-12,H,901
2020-11-12,M,1010
2020-11-13,H,809
2020-11-13,M,965
2020-11-14,H,289
2020-11-14,M,370
2020-11-15,H,178
2020-11-15,M,193
2020-11-16,H,905
2020-11-16,M,1046
2020-11-17,H,830
2020-11-17,M,968
2020-11-18,H,688
2020-11-18,M,760
2020-11-19,H,560
2020-11-19,M,714
2020-11-20,H,567
2020-11-20,M,656
2020-11-21,H,174
2020-11-21,M,195
2020-11-22,H,139
2020-11-22,M,130
2020-11-23,H,596
2020-11-23,M,670
2020-11-24,H,519
2020-11-24,M,611
2020-11-25,H,429
2020-11-25,M,557
2020-11-26,H,463
2020-11-26,M,511
2020-11-27,H,512
2020-11-27,M,585
2020-11-28,H,195
2020-11-28,M,215
2020-11-29,H,113
2020-11-29,M,141
2020-11-30,H,530
2020-11-30,M,596
2020-12-01,H,529
2020-12-01,M,570
2020-12-02,H,479
2020-12-02,M,521
2020-12-03,H,403
2020-12-03,M,495
2020-12-04,H,407
2020-12-04,M,424
2020-12-05,H,165
2020-12-05,M,174
2020-12-06,H,124
2020-12-06,M,114
2020-12-07,H,493
2020-12-07,M,566
2020-12-08,H,128
2020-12-08,M,147
2020-12-09,H,626
2020-12-09,M,667
2020-12-10,H,561
2020-12-10,M,697
2020-12-11,H,609
2020-12-11,M,707
2020-12-12,H,252
2020-12-12,M,235
2020-12-13,H,195
2020-12-13,M,226
2020-12-14,H,775
