fecha,sexo,num_casos
2020-11-28,H,182
2020-11-28,M,219
2020-11-29,H,123
2020-11-29,M,122
2020-11-30,H,632
2020-11-30,M,685
2020-12-01,H,748
2020-12-01,M,806
2020-12-02,H,740
2020-12-02,M,724
2020-12-03,H,595
2020-12-03,M,743
2020-12-04,H,697
2020-12-04,M,748
2020-12-05,H,189
2020-12-05,M,202
2020-12-06,H,160
2020-12-06,M,171
2020-12-07,H,261
2020-12-07,M,264
2020-12-08,H,225
2020-12-08,M,227
2020-12-09,H,830
2020-12-09,M,979
2020-12-10,H,1045
2020-12-10,M,1145
2020-12-11,H,1287
2020-12-11,M,1319
2020-12-12,H,323
2020-12-12,M,299
2020-12-13,H,224
2020-12-13,M,252
2020-12-14,H,965
2020-12-14,M,1056
2020-12-15,H,1162
2020-12-15,M,1311
2020-12-16,H,1184
2020-12-16,M,1232
2020-12-17,H,1031
2020-12-17,M,1111
2020-12-18,H,1217
2020-12-18,M,1317
2020-12-19,H,384
2020-12-19,M,386
2020-12-20,H,289
2020-12-20,M,283
2020-12-21,H,1125
2020-12-21,M,1204
